"","names","pts","ast","reb","wins","total_games","win_pct","year"
"209","Jericho Sims",2.16666666666667,0,2,3,6,0.5,2023
"210","Jevon Carter",8.09090909090909,2.81818181818182,2.45454545454545,10,11,0.909090909090909,2023
"211","Jimmy Butler",20.8888888888889,5.66666666666667,6.11111111111111,3,9,0.333333333333333,2023
"212","Jock Landale",7.90909090909091,1,4.36363636363636,8,11,0.727272727272727,2023
"213","Joe Harris",7.7,2.1,3.6,5,10,0.5,2023
"214","Joel Embiid",28,3.57142857142857,9.57142857142857,3,7,0.428571428571429,2023
"215","John Butler Jr.",2,0,1,0,1,0,2023
"216","John Collins",13.0909090909091,1.09090909090909,8.45454545454546,7,11,0.636363636363636,2023
"217","John Konchar",7.36363636363636,1.09090909090909,5.09090909090909,7,11,0.636363636363636,2023
"218","John Wall",12.4444444444444,5,2.44444444444444,4,9,0.444444444444444,2023
"219","Johnny Davis",1.2,0.4,0.8,1,5,0.2,2023
"220","Jonas Valanciunas",15,2.27272727272727,10.5454545454545,6,11,0.545454545454545,2023
"221","Jonathan Kuminga",4.875,0.625,1.875,3,8,0.375,2023
"222","Jordan Clarkson",18.6153846153846,5.15384615384615,4.53846153846154,10,13,0.769230769230769,2023
"223","Jordan Goodwin",6.8,2.6,3.4,2,5,0.4,2023
"224","Jordan Hall",1.5,1,0.5,0,2,0,2023
"225","Jordan McLaughlin",3.6,3.8,2,4,10,0.4,2023
"226","Jordan Nwora",5.63636363636364,0.454545454545455,3.81818181818182,10,11,0.909090909090909,2023
"227","Jordan Poole",15.1818181818182,4.90909090909091,1.45454545454545,4,11,0.363636363636364,2023
"228","Jordan Schakel",1.5,0.5,0,0,2,0,2023
"229","Jose Alvarado",7.72727272727273,2.72727272727273,1.90909090909091,6,11,0.545454545454545,2023
"230","Josh Christopher",3,0.625,1.625,1,8,0.125,2023
"231","Josh Giddey",13.5,5,6.75,1,8,0.125,2023
"232","Josh Green",6.5,1,2.5,6,10,0.6,2023
"233","Josh Hart",8.72727272727273,4.72727272727273,8.81818181818182,8,11,0.727272727272727,2023
"234","Josh Okogie",1.2,0,1.2,7,10,0.7,2023
"235","Josh Richardson",11.6363636363636,3.18181818181818,2.18181818181818,4,11,0.363636363636364,2023
"236","Joshua Primo",7,4.5,3.25,3,4,0.75,2023
"237","Jrue Holiday",19.6,7.9,5.7,9,10,0.9,2023
"238","JT Thor",3,0.636363636363636,2.45454545454545,3,11,0.272727272727273,2023
"239","Juan Toscano-Anderson",2.375,0.5,2.25,0,8,0,2023
"240","Juancho Hernangomez",1,0.6,0.8,3,5,0.6,2023
"241","Julius Randle",20.4545454545455,3.27272727272727,9.09090909090909,5,11,0.454545454545455,2023
"242","Justin Champagnie",3,0,1.5,1,2,0.5,2023
"243","Justin Holiday",6.81818181818182,1.27272727272727,0.818181818181818,7,11,0.636363636363636,2023
"244","Justin Jackson",2,0.333333333333333,0.333333333333333,2,3,0.666666666666667,2023
"245","Justise Winslow",7.5,3.3,4.5,7,10,0.7,2023
"246","Jusuf Nurkic",13,2.5,11.2,7,10,0.7,2023
"247","Kai Jones",1.8,0.4,0.2,2,5,0.4,2023
"248","Karl-Anthony Towns",21.3333333333333,5.5,8.91666666666667,5,12,0.416666666666667,2023
"249","Kawhi Leonard",12.5,2,6.5,1,2,0.5,2023
"250","Keegan Murray",13,1.44444444444444,4,4,9,0.444444444444444,2023
"251","Keita Bates-Diop",7.27272727272727,0.454545454545455,2.27272727272727,5,11,0.454545454545455,2023
"252","Keldon Johnson",23.0909090909091,3.81818181818182,5.54545454545455,5,11,0.454545454545455,2023
"253","Kelly Olynyk",12.3076923076923,3.23076923076923,4.15384615384615,10,13,0.769230769230769,2023
"254","Kelly Oubre Jr.",17.5,1.25,4.33333333333333,3,12,0.25,2023
"255","Kendrick Nunn",5.2,1.2,1.5,1,10,0.1,2023
"256","Kennedy Chandler",1.8,2,0.6,2,5,0.4,2023
"257","Kenneth Lofton Jr.",3,0.333333333333333,0.666666666666667,1,3,0.333333333333333,2023
"258","Kenrich Williams",6,1.7,4.3,3,10,0.3,2023
"259","Kentavious Caldwell-Pope",11.7,2.9,4,7,10,0.7,2023
"260","Kenyon Martin Jr.",11.4166666666667,1.66666666666667,4.83333333333333,2,12,0.166666666666667,2023
"261","Keon Johnson",7,1.66666666666667,2.5,3,6,0.5,2023
"262","Kessler Edwards",0.75,0.5,0.5,1,4,0.25,2023
"263","Kevin Durant",30.8333333333333,5.33333333333333,6.5,5,12,0.416666666666667,2023
"264","Kevin Huerter",16.6,3.2,2.4,4,10,0.4,2023
"265","Kevin Knox II",1.75,0.125,1,1,8,0.125,2023
"266","Kevin Love",12.2727272727273,2.54545454545455,7.72727272727273,8,11,0.727272727272727,2023
