"","names","pts","ast","reb","wins","total_games","win_pct","year","mvp","is_mvp"
"74","Chris Quinn",1.428571429,1.285714286,0.285714286,0,7,0,2013,0,"NO"
"75","Chris Singleton",4.052631579,0.649122807,3.228070175,17,57,0.298245614,2013,0,"NO"
"76","Chris Wilcox",4.245901639,0.360655738,2.950819672,33,61,0.540983607,2013,0,"NO"
"77","Chris Wright",0.666666667,0,0,2,3,0.666666667,2013,0,"NO"
"78","Chuck Hayes",2.675675676,1.513513514,4.040540541,27,74,0.364864865,2013,0,"NO"
"79","CJ Miles",11.21538462,0.969230769,2.676923077,19,65,0.292307692,2013,0,"NO"
"80","Cole Aldrich",2.222222222,0.2,2.666666667,20,45,0.444444444,2013,0,"NO"
"81","Corey Brewer",12.07317073,1.512195122,2.865853659,57,82,0.695121951,2013,0,"NO"
"82","Corey Maggette",5.277777778,1.055555556,1.388888889,7,18,0.388888889,2013,0,"NO"
"83","Cory Higgins",2.333333333,0.833333333,0.5,3,6,0.5,2013,0,"NO"
"84","Cory Joseph",4.5,1.892857143,1.857142857,19,28,0.678571429,2013,0,"NO"
"85","Courtney Lee",7.846153846,1.833333333,2.435897436,40,78,0.512820513,2013,0,"NO"
"86","D.J. Augustin",4.684210526,2.236842105,1.197368421,45,76,0.592105263,2013,0,"NO"
"87","Daequan Cook",2.795918367,0.387755102,1.244897959,25,49,0.510204082,2013,0,"NO"
"88","Dahntay Jones",3.358974359,0.615384615,1.294871795,35,78,0.448717949,2013,0,"NO"
"89","DaJuan Summers",1,0.5,1,1,2,0.5,2013,0,"NO"
"90","Damian Lillard",19.04878049,6.475609756,3.134146341,33,82,0.402439024,2013,0,"NO"
"91","Damien Wilkins",6.360655738,1.491803279,1.721311475,22,61,0.360655738,2013,0,"NO"
"92","Damion James",0,0,0.5,2,2,1,2013,0,"NO"
"93","Daniel Gibson",5.434782609,1.782608696,1.304347826,11,46,0.239130435,2013,0,"NO"
"94","Daniel Orton",2.538461538,0.307692308,2,10,13,0.769230769,2013,0,"NO"
